干员名字,分支,描述,再部署时间,部署费用,阻挡数,攻击间隔,生命上限,攻击,防御,法术抗性,攻击范围
重岳,重剑手,同时攻击阻挡的所有敌人,70s,19→21→23,2,2.5s,"['2325', '3230', '4251', '5669', '350']","['642', '918', '1193', '1438', '70']","['0', '0', '0', '0', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]"
闪击,吟游者,不攻击，持续恢复范围内所有友军生命（每秒相当于自身攻击力10%的生命），自身不受鼓舞术语: 鼓舞获得额外附加的基础属性加成（同类属性取比例最高）※给予他人鼓舞效果的角色会将自身的鼓舞BUFF重写后适用于受益者（先最终乘算计算加成数值后，重写为最终加算，再将鼓舞赋予受益者）影响,70s,6→8,1,1.3s,"['613', '877', '1202', '1603', '0']","['145', '228', '305', '368', '50']","['93', '139', '186', '233', '30']","['0', '0', '0', '0', '0']","[9, 13, 13]"
伊芙利特,无畏者,能够阻挡一个敌人,70s,17→19,1,1.5s,"['1397', '1996', '2698', '3550', '200']","['473', '697', '883', '1064', '85']","['130', '187', '247', '295', '0']","['0', '0', '0', '0', '0']","[2, 2, 2]"
断崖,召唤师,攻击造成法术伤害可以使用召唤物协助作战,70s,10→12,1,1.6s,"['485', '656', '852', '1079', '350']","['212', '304', '406', '473', '35']","['59', '85', '114', '138', '0']","['15', '15', '20', '20', '0']","[9, 10, 10]"
炎客,召唤师,攻击造成法术伤害可以使用召唤物协助作战,70s,8→10,1,1.6s,"['472', '638', '829', '1050', '300']","['181', '259', '346', '403', '0']","['53', '77', '103', '125', '0']","['10', '10', '10', '15', '0']","[9, 10, 10]"
熔泉,驭法铁卫,技能开启时普通攻击会造成法术伤害,80s,23→25→27,3,1.6s,"['1246', '1685', '2247', '3122', '200']","['262', '375', '500', '625', '40']","['231', '341', '461', '577', '0']","['5', '5', '10', '15', '0']","[1, 1, 1]"
宴,群愈师,同时恢复三个友方单位的生命,70s,15→17,1,2.85s,"['751', '1016', '1271', '1610', '0']","['122', '198', '268', '335', '55']","['71', '95', '124', '150', '0']","['0', '0', '0', '0', '0']","[10, 12, 12]"
石英,执旗手,技能发动期间阻挡数变为0,70s,10→12,1,1.3s,"['771', '1057', '1339', '1835', '0']","['243', '348', '458', '546', '40']","['169', '236', '311', '367', '40']","['0', '0', '0', '0', '0']","[2, 2, 2]"
刻俄柏,处决者,再部署时间大幅度减少,18s,7→9,1,0.93s,"['680', '907', '1134', '1455', '0']","['207', '305', '418', '536', '50']","['137', '196', '255', '304', '30']","['0', '0', '0', '0', '0']","[2, 2, 2]"
黑,炮手,攻击造成群体物理伤害,70s,25→27→29,1,2.8s,"['985', '1232', '1540', '1926', '0']","['375', '536', '671', '861', '100']","['80', '104', '132', '156', '0']","['0', '0', '0', '0', '0']","[12, 13, 15]"
